type: 4  ;;; serialno: 1  ;;; thread_id: 31148  ;;; process_id: 31090  ;;; thread_name: "menu-cache-io"  ;;; syscall_name: "read"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 4  ;;; serialno: 2  ;;; thread_id: 31136  ;;; process_id: 31090  ;;; thread_name: "dconf worker"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 3  ;;; thread_id: 31127  ;;; process_id: 31090  ;;; thread_name: "gdbus"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "<... resuming interrupted poll ...>"  ;;; syscall_ret_val: 1  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 4  ;;; serialno: 4  ;;; thread_id: 31126  ;;; process_id: 31090  ;;; thread_name: "gmain"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 5  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "<... resuming interrupted poll ...>"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 6  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "open"  ;;; syscall_param: ""/proc/stat", O_RDONLY"  ;;; syscall_ret_val: 12  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 7  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "fstat"  ;;; syscall_param: "12</proc/stat>, {st_mode=S_IFREG|0444, st_size=0, ...}"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 8  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "read"  ;;; syscall_param: "12</proc/stat>, "cpu  353490 13332 259118 4386005"..., 1024"  ;;; syscall_ret_val: 1024  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 9  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "close"  ;;; syscall_param: "12</proc/stat>"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 10  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538c0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 11  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[294584->294585]>, events=POLLIN}], 3, 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "Timeout"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
