type: 4  ;;; serialno: 1  ;;; thread_id: 31148  ;;; process_id: 31090  ;;; thread_name: "menu-cache-io"  ;;; syscall_name: "read"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 4  ;;; serialno: 2  ;;; thread_id: 31136  ;;; process_id: 31090  ;;; thread_name: "dconf worker"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 3  ;;; thread_id: 31127  ;;; process_id: 31090  ;;; thread_name: "gdbus"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "<... resuming interrupted restart_syscall ...>"  ;;; syscall_ret_val: 1  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 4  ;;; serialno: 4  ;;; thread_id: 31126  ;;; process_id: 31090  ;;; thread_name: "gmain"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "None"  ;;; syscall_ret_val: "None"  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 5  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "restart_syscall"  ;;; syscall_param: "<... resuming interrupted poll ...>"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 6  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "open"  ;;; syscall_param: ""/proc/stat", O_RDONLY"  ;;; syscall_ret_val: 12  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 7  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "fstat"  ;;; syscall_param: "12</proc/stat>, {st_mode=S_IFREG|0444, st_size=0, ...}"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 8  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "read"  ;;; syscall_param: "12</proc/stat>, "cpu  361705 13707 266257 4467991"..., 1024"  ;;; syscall_ret_val: 1024  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 9  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "close"  ;;; syscall_param: "12</proc/stat>"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 10  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538c0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 11  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[294584->294585]>, events=POLLIN}], 3, 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "Timeout"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 12  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c52410, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 13  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN|POLLOUT}], 1, -1"  ;;; syscall_ret_val: 1  ;;; syscall_ret_val_info: "[{fd=3, revents=POLLOUT}]"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 14  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "writev"  ;;; syscall_param: "3<UNIX:[294552->294566]>, [{"5\30\4\0002\33`\1\36\0`\1(\0\32\0007\0\7\0003\33`\0012\33`\1\0\5\1\0"..., 220}, {NULL, 0}, {"", 0}], 3"  ;;; syscall_ret_val: 220  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 15  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, {msg_name(0)=NULL, msg_iov(1)=[{"A\0\17\2422\33`\1\3\0\203\0(\0`\1\0\0\34\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0"  ;;; syscall_ret_val: 32  ;;; syscall_ret_val_info: "None"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 16  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "recvmsg"  ;;; syscall_param: "3<UNIX:[294552->294566]>, 0x7ffdf5c538b0, 0"  ;;; syscall_ret_val: -1  ;;; syscall_ret_val_info: "None"  ;;; errno: "EAGAIN"  ;;; error_info: "Resource temporarily unavailable"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
type: 1  ;;; serialno: 17  ;;; thread_id: 31090  ;;; process_id: 31090  ;;; thread_name: "lxpanel"  ;;; syscall_name: "poll"  ;;; syscall_param: "[{fd=3<UNIX:[294552->294566]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[294584->294585]>, events=POLLIN}], 3, 0"  ;;; syscall_ret_val: 0  ;;; syscall_ret_val_info: "Timeout"  ;;; errno: "None"  ;;; error_info: "None"  ;;; signal_name: "None"  ;;; signal_param: "None"  ;;; plus_info: "None"
